      Lon      Lat    Year     BNE    BINE     BNS    TeNE    TeBS     IBS    TeBE    TrBE   TrIBE    TrBR     C3G     C4G   Total
   -70.25    47.75    1901   0.446   0.124   0.000   0.000   0.000   0.003   0.000   0.000   0.000   0.000   0.035   0.000   0.608
   -70.25    47.75    1902   0.458   0.128   0.000   0.000   0.000   0.003   0.000   0.000   0.000   0.000   0.029   0.000   0.618
   -70.25    47.75    1903   0.474   0.134   0.000   0.000   0.000   0.003   0.000   0.000   0.000   0.000   0.026   0.000   0.636
   -70.25    47.75    1904   0.450   0.128   0.000   0.000   0.000   0.003   0.000   0.000   0.000   0.000   0.022   0.000   0.604
   -70.25    47.75    1905   0.440   0.125   0.000   0.000   0.000   0.003   0.000   0.000   0.000   0.000   0.017   0.000   0.586
   -70.25    47.75    1906   0.421   0.121   0.000   0.000   0.000   0.002   0.000   0.000   0.000   0.000   0.012   0.000   0.556
   -70.25    47.75    1907   0.406   0.117   0.000   0.000   0.000   0.002   0.000   0.000   0.000   0.000   0.008   0.000   0.534
   -70.25    47.75    1908   0.444   0.126   0.000   0.000   0.000   0.003   0.000   0.000   0.000   0.000   0.007   0.000   0.580
   -70.25    47.75    1909   0.456   0.130   0.000   0.000   0.000   0.002   0.000   0.000   0.000   0.000   0.005   0.000   0.593
   -70.25    47.75    1910   0.472   0.135   0.000   0.000   0.000   0.003   0.000   0.000   0.000   0.000   0.004   0.000   0.614
   -70.25    47.75    1911   0.451   0.129   0.000   0.000   0.000   0.003   0.000   0.000   0.000   0.000   0.003   0.000   0.586
   -70.25    47.75    1912   0.419   0.120   0.000   0.000   0.000   0.002   0.000   0.000   0.000   0.000   0.002   0.000   0.543
   -70.25    47.75    1913   0.442   0.126   0.000   0.000   0.000   0.002   0.000   0.000   0.000   0.000   0.001   0.000   0.572
   -70.25    47.75    1914   0.357   0.103   0.000   0.000   0.000   0.002   0.000   0.000   0.000   0.000   0.001   0.000   0.462
   -70.25    47.75    1915   0.333   0.097   0.000   0.000   0.000   0.002   0.000   0.000   0.000   0.000   0.000   0.000   0.432
   -70.25    47.75    1916   0.288   0.082   0.000   0.000   0.000   0.001   0.000   0.000   0.000   0.000   0.000   0.000   0.371
   -70.25    47.75    1917   0.336   0.090   0.000   0.000   0.000   0.001   0.000   0.000   0.000   0.000   0.000   0.000   0.427
   -70.25    47.75    1918   0.427   0.110   0.000   0.000   0.000   0.002   0.000   0.000   0.000   0.000   0.000   0.000   0.539
   -70.25    47.75    1919   0.481   0.123   0.000   0.000   0.000   0.001   0.000   0.000   0.000   0.000   0.000   0.000   0.606
   -70.25    47.75    1920   0.481   0.126   0.000   0.000   0.000   0.002   0.000   0.000   0.000   0.000   0.000   0.000   0.608
   -70.25    47.75    1921   0.403   0.106   0.000   0.000   0.000   0.001   0.000   0.000   0.000   0.000   0.000   0.000   0.510
   -70.25    47.75    1922   0.438   0.115   0.000   0.000   0.000   0.001   0.000   0.000   0.000   0.000   0.000   0.000   0.554
   -70.25    47.75    1923   0.377   0.099   0.000   0.000   0.000   0.001   0.000   0.000   0.000   0.000   0.000   0.000   0.477
   -70.25    47.75    1924   0.380   0.099   0.000   0.000   0.000   0.001   0.000   0.000   0.000   0.000   0.000   0.000   0.480
   -70.25    47.75    1925   0.341   0.082   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.423
   -70.25    47.75    1926   0.326   0.079   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.001   0.000   0.406
   -70.25    47.75    1927   0.340   0.088   0.000   0.000   0.000   0.003   0.000   0.000   0.000   0.000   0.055   0.000   0.486
   -70.25    47.75    1928   0.354   0.088   0.000   0.000   0.000   0.003   0.000   0.000   0.000   0.000   0.068   0.000   0.514
   -70.25    47.75    1929   0.353   0.089   0.000   0.000   0.000   0.004   0.000   0.000   0.000   0.000   0.077   0.000   0.523
   -70.25    47.75    1930   0.427   0.106   0.000   0.000   0.000   0.004   0.000   0.000   0.000   0.000   0.083   0.000   0.620
   -70.25    47.75    1931   0.463   0.116   0.000   0.000   0.000   0.004   0.000   0.000   0.000   0.000   0.072   0.000   0.655
   -70.25    47.75    1932   0.443   0.112   0.000   0.000   0.000   0.004   0.000   0.000   0.000   0.000   0.072   0.000   0.630
   -70.25    47.75    1933   0.440   0.112   0.000   0.000   0.000   0.003   0.000   0.000   0.000   0.000   0.050   0.000   0.606
   -70.25    47.75    1934   0.419   0.107   0.000   0.000   0.000   0.003   0.000   0.000   0.000   0.000   0.063   0.000   0.592
   -70.25    47.75    1935   0.398   0.104   0.000   0.000   0.000   0.003   0.000   0.000   0.000   0.000   0.055   0.000   0.560
   -70.25    47.75    1936   0.412   0.105   0.000   0.000   0.000   0.002   0.000   0.000   0.000   0.000   0.062   0.000   0.582
   -70.25    47.75    1937   0.422   0.110   0.000   0.000   0.000   0.003   0.000   0.000   0.000   0.000   0.055   0.000   0.591
