      Lon      Lat    Year  FireRT
   -70.25    47.75    1901  1000.0
   -70.25    47.75    1902  1000.0
   -70.25    47.75    1903  1000.0
   -70.25    47.75    1904   615.1
   -70.25    47.75    1905   842.2
   -70.25    47.75    1906   237.9
   -70.25    47.75    1907  1000.0
   -70.25    47.75    1908   813.6
   -70.25    47.75    1909  1000.0
   -70.25    47.75    1910   747.2
   -70.25    47.75    1911   434.3
   -70.25    47.75    1912   684.0
   -70.25    47.75    1913   505.4
   -70.25    47.75    1914   119.5
   -70.25    47.75    1915   180.2
   -70.25    47.75    1916   121.2
   -70.25    47.75    1917  1000.0
   -70.25    47.75    1918   378.2
   -70.25    47.75    1919  1000.0
   -70.25    47.75    1920   203.1
   -70.25    47.75    1921   120.8
   -70.25    47.75    1922   123.1
   -70.25    47.75    1923   130.3
   -70.25    47.75    1924   737.1
   -70.25    47.75    1925   310.7
   -70.25    47.75    1926  1000.0
   -70.25    47.75    1927  1000.0
   -70.25    47.75    1928   172.0
   -70.25    47.75    1929  1000.0
   -70.25    47.75    1930   981.6
   -70.25    47.75    1931   303.8
   -70.25    47.75    1932   464.5
   -70.25    47.75    1933   161.0
   -70.25    47.75    1934   362.0
   -70.25    47.75    1935   799.4
   -70.25    47.75    1936  1000.0
   -70.25    47.75    1937  1000.0
   -70.25    47.75    1938   251.8
   -70.25    47.75    1939  1000.0
   -70.25    47.75    1940   159.1
   -70.25    47.75    1941   233.2
   -70.25    47.75    1942   214.4
   -70.25    47.75    1943   384.0
   -70.25    47.75    1944   157.7
   -70.25    47.75    1945   407.5
   -70.25    47.75    1946   140.2
   -70.25    47.75    1947   241.8
   -70.25    47.75    1948  1000.0
   -70.25    47.75    1949   755.1
   -70.25    47.75    1950   570.4
   -70.25    47.75    1951  1000.0
   -70.25    47.75    1952   619.1
   -70.25    47.75    1953   124.5
   -70.25    47.75    1954  1000.0
   -70.25    47.75    1955   387.9
   -70.25    47.75    1956  1000.0
   -70.25    47.75    1957   258.0
   -70.25    47.75    1958  1000.0
   -70.25    47.75    1959  1000.0
   -70.25    47.75    1960   145.4
   -70.25    47.75    1961  1000.0
   -70.25    47.75    1962   728.9
   -70.25    47.75    1963   779.8
   -70.25    47.75    1964   950.0
   -70.25    47.75    1965   245.9
   -70.25    47.75    1966  1000.0
   -70.25    47.75    1967   761.4
   -70.25    47.75    1968   320.0
   -70.25    47.75    1969   936.0
   -70.25    47.75    1970   146.9
   -70.25    47.75    1971   361.2
   -70.25    47.75    1972  1000.0
   -70.25    47.75    1973   594.9
   -70.25    47.75    1974   575.2
   -70.25    47.75    1975   229.5
   -70.25    47.75    1976   625.3
   -70.25    47.75    1977  1000.0
   -70.25    47.75    1978   251.5
   -70.25    47.75    1979   129.4
   -70.25    47.75    1980   942.3
   -70.25    47.75    1981   367.7
   -70.25    47.75    1982   714.0
   -70.25    47.75    1983   144.9
   -70.25    47.75    1984   604.7
   -70.25    47.75    1985   938.0
   -70.25    47.75    1986  1000.0
   -70.25    47.75    1987  1000.0
   -70.25    47.75    1988   398.6
   -70.25    47.75    1989   428.4
   -70.25    47.75    1990   343.3
   -70.25    47.75    1991   252.1
   -70.25    47.75    1992  1000.0
   -70.25    47.75    1993  1000.0
   -70.25    47.75    1994  1000.0
   -70.25    47.75    1995   131.4
   -70.25    47.75    1996   751.3
   -70.25    47.75    1997   201.0
   -70.25    47.75    1998   901.0
   -70.25    47.75    1999   382.1
   -70.25    47.75    2000   750.5
   -70.25    47.75    2001   413.2
   -70.25    47.75    2002   138.9
   -70.25    47.75    2003   975.7
   -70.25    47.75    2004   413.7
   -70.25    47.75    2005   338.6
   -70.25    47.75    2006   570.6
   -70.25    47.75    2007   617.4
   -70.25    47.75    2008   239.0
   -70.25    47.75    2009   235.6
   -70.25    47.75    2010   776.1
   -70.25    47.75    2011  1000.0
   -70.25    47.75    2012   161.9
   -70.25    47.75    2013   959.8
   -70.25    47.75    2014   202.3
   -72.75    44.75    1901   690.8
   -72.75    44.75    1902   798.6
   -72.75    44.75    1903   148.1
   -72.75    44.75    1904   388.9
   -72.75    44.75    1905   882.8
   -72.75    44.75    1906   227.7
   -72.75    44.75    1907   251.9
   -72.75    44.75    1908   117.8
   -72.75    44.75    1909   220.9
   -72.75    44.75    1910   447.3
   -72.75    44.75    1911   182.0
   -72.75    44.75    1912   225.6
   -72.75    44.75    1913   396.6
   -72.75    44.75    1914   248.3
   -72.75    44.75    1915   225.4
   -72.75    44.75    1916  1000.0
   -72.75    44.75    1917  1000.0
   -72.75    44.75    1918   558.7
   -72.75    44.75    1919   415.2
   -72.75    44.75    1920   945.8
   -72.75    44.75    1921   127.2
   -72.75    44.75    1922  1000.0
   -72.75    44.75    1923   249.4
   -72.75    44.75    1924   217.5
   -72.75    44.75    1925   271.2
   -72.75    44.75    1926   983.3
   -72.75    44.75    1927  1000.0
   -72.75    44.75    1928  1000.0
   -72.75    44.75    1929   652.4
   -72.75    44.75    1930   468.3
   -72.75    44.75    1931   932.8
   -72.75    44.75    1932   662.0
   -72.75    44.75    1933   131.2
   -72.75    44.75    1934   128.8
   -72.75    44.75    1935   969.5
   -72.75    44.75    1936   316.5
   -72.75    44.75    1937  1000.0
   -72.75    44.75    1938   166.3
   -72.75    44.75    1939   517.5
   -72.75    44.75    1940   262.5
   -72.75    44.75    1941   255.0
   -72.75    44.75    1942   464.8
   -72.75    44.75    1943  1000.0
   -72.75    44.75    1944   205.7
   -72.75    44.75    1945   436.1
