Ver. 2010.09,,Town,Lat. ,Long. ,Trees,Beech,Maples,Birches,Ashs,Hemlock,Basswood,Elms,Pines,Hickories,Spruces,Fir,Cedar,Oaks,Chestnut,Ironwoods,Poplars,Tamarack,Cherries,Chamae'is,Nyssa,Juglans ,Buttonwood,Liriodendron ,Magnolia,Other
NY,%,St Regis StL Canada line ,44.95,-74.71,116,29.31%,10.34%,4.31%,5.17%,16.38%,5.17%,3.45%,1.72%,0.86%,11.21%,1.72%,3.45%,3.45%,0.00%,0.00%,0.86%,2.59%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Refugee Tract combi,44.85,-73.77,121,22.31%,9.09%,9.92%,4.13%,15.70%,0.83%,0.83%,0.00%,0.00%,25.62%,8.26%,0.83%,0.00%,0.00%,2.48%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Dean's Patent (Chazy) ,44.8343,-73.4593,130,36.92%,18.46%,4.62%,9.23%,6.92%,4.62%,0.77%,0.00%,0.77%,1.54%,0.00%,3.08%,3.85%,0.00%,5.38%,3.08%,0.00%,0.77%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Madrid,44.82,-75.16,143,25.17%,16.08%,4.90%,11.19%,18.18%,2.80%,4.20%,4.90%,0.00%,0.70%,0.00%,4.90%,2.10%,0.00%,1.40%,1.40%,1.40%,0.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,East 3 of 10 Towns ,44.77,-74.95,93,48.39%,21.51%,5.38%,2.15%,7.53%,0.00%,2.15%,1.08%,0.00%,6.45%,0.00%,5.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Macomb GL #1  NE edge & OMT #6,44.69,-74.27,158,28.48%,14.56%,6.33%,0.63%,3.80%,0.63%,0.00%,13.29%,0.00%,18.35%,7.59%,3.80%,0.00%,0.00%,0.00%,0.63%,1.27%,0.63%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,OMT #9,44.63,-74.06,426,26.53%,6.10%,15.49%,0.70%,4.23%,0.00%,0.00%,0.23%,0.00%,37.79%,7.28%,1.41%,0.00%,0.00%,0.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,north GL#2,44.63,-74.72,68,51.47%,11.76%,8.82%,2.94%,10.29%,0.00%,2.94%,0.00%,0.00%,4.41%,0.00%,1.47%,1.47%,0.00%,1.47%,0.00%,2.94%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Macomb GL1 #14&15,44.54,-74.38,89,26.97%,16.85%,10.11%,0.00%,3.37%,0.00%,0.00%,0.00%,0.00%,26.97%,10.11%,2.25%,0.00%,0.00%,0.00%,0.00%,3.37%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Hague & Shore,44.48,-75.72,104,9.62%,10.58%,19.23%,6.73%,9.62%,1.92%,0.96%,17.31%,0.00%,0.00%,0.00%,3.85%,11.54%,0.00%,0.00%,6.73%,0.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.96%
NY,%,#10 OMT,44.4783,-74.0133,615,29.43%,7.15%,9.43%,0.00%,4.39%,0.00%,0.00%,0.98%,0.00%,32.68%,12.68%,0.98%,0.00%,0.00%,0.00%,0.00%,1.95%,0.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Dekalb & line interior GL #3,44.41,-75.49,136,25.74%,14.71%,8.82%,5.15%,14.71%,2.94%,1.47%,1.47%,0.00%,22.06%,0.00%,0.00%,0.74%,0.00%,0.74%,0.74%,0.00%,0.00%,0.00%,0.00%,0.74%,0.00%,0.00%,0.00%,0.00%
NY,%,Peru Bay Tract,44.4067,-73.4517,270,28.15%,16.67%,4.07%,1.48%,18.89%,1.85%,1.48%,12.96%,1.11%,7.04%,0.00%,2.22%,3.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.37%
NY,%,Jay & Whiteface,44.4,-73.875,93,24.73%,10.75%,4.30%,2.15%,3.23%,0.00%,0.00%,2.15%,0.00%,31.18%,11.83%,1.08%,1.08%,0.00%,3.23%,2.15%,0.00%,2.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Jay (NY) Tract E,44.3933,-73.74,102,21.57%,15.69%,3.92%,3.92%,0.98%,2.94%,1.96%,21.57%,0.00%,15.69%,0.00%,0.98%,5.88%,0.00%,1.96%,2.94%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,OMT #11,44.34,-74.03,392,20.15%,12.76%,14.29%,0.26%,3.06%,0.26%,0.00%,1.02%,0.00%,26.53%,13.01%,2.55%,0.00%,0.00%,1.02%,1.02%,3.83%,0.26%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Henry's Survey,44.31,-73.65,426,30.52%,11.27%,15.73%,1.41%,7.04%,1.41%,0.23%,2.82%,0.00%,24.41%,1.88%,0.00%,1.88%,0.00%,0.70%,0.47%,0.00%,0.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Alexandria (Macomb#4),44.3017,-75.84333,266,31.20%,17.29%,6.39%,6.77%,15.04%,3.76%,2.26%,6.39%,0.00%,0.00%,0.00%,0.38%,4.14%,0.00%,4.89%,1.13%,0.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Macomb GL1 #23 (Killarney),44.26,-74.34,72,30.56%,11.11%,13.89%,0.00%,18.06%,0.00%,0.00%,4.17%,0.00%,12.50%,0.00%,6.94%,0.00%,0.00%,0.00%,0.00%,2.78%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Antwerp (Macomb # 4),44.234,-75.6145,161,45.96%,20.50%,6.83%,4.35%,9.32%,2.48%,3.73%,0.00%,0.00%,2.48%,0.00%,0.00%,0.62%,0.00%,0.62%,0.62%,2.48%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Taylor & Kimball (Kelly Tract) Westport&Lewis,44.2241,-73.4494,66,30.30%,9.09%,3.03%,4.55%,27.27%,1.52%,1.52%,6.06%,0.00%,10.61%,0.00%,1.52%,3.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.52%,0.00%,0.00%,0.00%
NY,%,Split Rock Tract,44.2217,-73.3883,62,20.97%,14.52%,0.00%,6.45%,24.19%,1.61%,0.00%,8.06%,0.00%,4.84%,0.00%,3.23%,14.52%,0.00%,1.61%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,OMT #1 E&W,44.22,-73.67,128,32.03%,14.06%,7.03%,1.56%,6.25%,1.56%,0.78%,0.00%,0.00%,21.88%,9.38%,0.00%,0.78%,0.00%,2.34%,1.56%,0.00%,0.78%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,OMT #12S,44.18,-73.98,71,22.54%,11.27%,14.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,23.94%,25.35%,2.82%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Roaring Brook Tract,44.17,-73.72,80,22.50%,0.00%,12.50%,2.50%,22.50%,2.50%,0.00%,1.25%,0.00%,26.25%,8.75%,0.00%,0.00%,0.00%,1.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,South of #2 along T&C,44.16,-74.88,165,33.94%,7.88%,8.48%,3.03%,6.06%,0.00%,0.00%,1.82%,0.00%,22.42%,4.24%,0.61%,0.00%,0.00%,0.00%,0.00%,10.91%,0.61%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Iron Ore Tract,44.15,-73.53,360,38.89%,11.67%,7.22%,1.39%,11.67%,1.94%,0.83%,3.89%,0.00%,16.39%,0.28%,1.39%,0.56%,0.00%,0.83%,1.94%,0.00%,1.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Lyme-Clayton-Carleton,44.15,-76.2038,267,20.97%,18.73%,1.87%,10.11%,4.12%,5.62%,2.62%,7.87%,1.87%,0.37%,0.00%,2.62%,11.61%,0.37%,7.12%,2.62%,0.75%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.75%
